,Quotes,Author,Tags
0,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/truth/page/1/"">truth</a>"
1,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/death/page/1/"">death</a>"
2,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/life/page/1/"">life</a>"
3,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/adventure/page/1/"">adventure</a>"
4,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/love/page/1/"">love</a>"
5,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/courage/page/1/"">courage</a>"
6,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/life/page/1/"">life</a>"
7,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/better-life-empathy/page/1/"">better-life-empathy</a>"
8,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/books/page/1/"">books</a>"
9,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/children/page/1/"">children</a>"
10,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/difficult/page/1/"">difficult</a>"
11,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/grown-ups/page/1/"">grown-ups</a>"
12,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/write/page/1/"">write</a>"
13,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/writers/page/1/"">writers</a>"
14,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/writing/page/1/"">writing</a>"
15,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/truth/page/1/"">truth</a>"
16,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/inspirational/page/1/"">inspirational</a>"
17,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/books/page/1/"">books</a>"
18,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/mind/page/1/"">mind</a>"
19,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/love/"" style=""font-size: 28px"">love</a>"
20,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/inspirational/"" style=""font-size: 26px"">inspirational</a>"
21,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/life/"" style=""font-size: 26px"">life</a>"
22,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/humor/"" style=""font-size: 24px"">humor</a>"
23,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/books/"" style=""font-size: 22px"">books</a>"
24,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/reading/"" style=""font-size: 14px"">reading</a>"
25,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/friendship/"" style=""font-size: 10px"">friendship</a>"
26,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/friends/"" style=""font-size: 8px"">friends</a>"
27,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/truth/"" style=""font-size: 8px"">truth</a>"
28,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"<a class=""tag"" href=""/tag/simile/"" style=""font-size: 6px"">simile</a>"
